game_id,season,home_team_id,Home Team,away_team_id,Away Team,outcome
2017020812,20172018,7,Buffalo Sabres,24,Anaheim Ducks,away win OT
2017020586,20172018,24,Anaheim Ducks,20,Calgary Flames,home win REG
2017020240,20172018,24,Anaheim Ducks,23,Vancouver Canucks,home win REG
2017020624,20172018,21,Colorado Avalanche,29,Columbus Blue Jackets,home win REG
2017020221,20172018,25,Dallas Stars,52,Winnipeg Jets,away win REG
2017020731,20172018,53,Arizona Coyotes,2,New York Islanders,home win OT
2017020986,20172018,25,Dallas Stars,14,Tampa Bay Lightning,away win OT
2017021124,20172018,12,Carolina Hurricanes,22,Edmonton Oilers,away win REG
2017020146,20172018,30,Minnesota Wild,2,New York Islanders,home win REG
2017020001,20172018,52,Winnipeg Jets,10,Toronto Maple Leafs,away win REG
2017020482,20172018,8,Montreal Canadiens,1,New Jersey Devils,home win OT
2017020706,20172018,15,Washington Capitals,8,Montreal Canadiens,away win REG
2017021076,20172018,20,Calgary Flames,22,Edmonton Oilers,home win REG
2017021046,20172018,25,Dallas Stars,24,Anaheim Ducks,home win REG
2017020214,20172018,2,New York Islanders,21,Colorado Avalanche,home win REG
2017020285,20172018,21,Colorado Avalanche,15,Washington Capitals,home win REG
2017020423,20172018,23,Vancouver Canucks,12,Carolina Hurricanes,home win REG
2017020930,20172018,10,Toronto Maple Leafs,2,New York Islanders,home win SO
2017020301,20172018,15,Washington Capitals,30,Minnesota Wild,home win REG
2017021066,20172018,29,Columbus Blue Jackets,8,Montreal Canadiens,home win REG
2017021087,20172018,13,Florida Panthers,6,Boston Bruins,home win REG
2017020625,20172018,20,Calgary Flames,26,Los Angeles Kings,home win REG
2017020138,20172018,6,Boston Bruins,28,San Jose Sharks,home win REG
2017020020,20172018,2,New York Islanders,7,Buffalo Sabres,home win REG
2017021170,20172018,3,New York Rangers,15,Washington Capitals,away win REG
2017021025,20172018,18,Nashville Predators,25,Dallas Stars,home win REG
2017020540,20172018,13,Florida Panthers,30,Minnesota Wild,home win REG
2017020699,20172018,29,Columbus Blue Jackets,25,Dallas Stars,home win SO
2017020506,20172018,20,Calgary Flames,18,Nashville Predators,away win REG
2017021194,20172018,18,Nashville Predators,28,San Jose Sharks,home win REG
2017020342,20172018,29,Columbus Blue Jackets,9,Ottawa Senators,home win REG
2017021257,20172018,4,Philadelphia Flyers,3,New York Rangers,home win REG
2017021255,20172018,16,Chicago Blackhawks,19,St Louis Blues,away win REG
2017021010,20172018,24,Anaheim Ducks,16,Chicago Blackhawks,home win REG
2017020853,20172018,19,St Louis Blues,5,Pittsburgh Penguins,away win REG
2017020696,20172018,2,New York Islanders,6,Boston Bruins,away win REG
2017020164,20172018,30,Minnesota Wild,5,Pittsburgh Penguins,home win REG
2017020059,20172018,29,Columbus Blue Jackets,3,New York Rangers,home win REG
2017020953,20172018,15,Washington Capitals,7,Buffalo Sabres,home win REG
2017020952,20172018,1,New Jersey Devils,2,New York Islanders,home win REG
2017020562,20172018,5,Pittsburgh Penguins,29,Columbus Blue Jackets,home win SO
2017021081,20172018,54,Vegas Golden Knights,1,New Jersey Devils,away win REG
2017020955,20172018,25,Dallas Stars,52,Winnipeg Jets,away win REG
2017021218,20172018,4,Philadelphia Flyers,6,Boston Bruins,home win OT
2017020058,20172018,1,New Jersey Devils,15,Washington Capitals,away win REG
2017020614,20172018,17,Detroit Red Wings,9,Ottawa Senators,home win OT
2017020728,20172018,30,Minnesota Wild,9,Ottawa Senators,home win REG
2017020813,20172018,5,Pittsburgh Penguins,54,Vegas Golden Knights,home win REG
2017020987,20172018,22,Edmonton Oilers,18,Nashville Predators,away win REG
2017020154,20172018,20,Calgary Flames,25,Dallas Stars,away win REG
2017020911,20172018,28,San Jose Sharks,25,Dallas Stars,home win REG
2017020065,20172018,3,New York Rangers,1,New Jersey Devils,away win REG
2017021065,20172018,15,Washington Capitals,52,Winnipeg Jets,home win OT
2017020715,20172018,19,St Louis Blues,53,Arizona Coyotes,away win REG
2017020067,20172018,5,Pittsburgh Penguins,13,Florida Panthers,home win REG
2017020404,20172018,18,Nashville Predators,24,Anaheim Ducks,home win SO
2017020118,20172018,25,Dallas Stars,12,Carolina Hurricanes,home win REG
2017020161,20172018,1,New Jersey Devils,53,Arizona Coyotes,home win REG
2017020046,20172018,10,Toronto Maple Leafs,1,New Jersey Devils,away win REG
2017020582,20172018,52,Winnipeg Jets,2,New York Islanders,home win REG
2017020375,20172018,22,Edmonton Oilers,53,Arizona Coyotes,home win OT
2017020918,20172018,10,Toronto Maple Leafs,13,Florida Panthers,home win REG
2017020019,20172018,1,New Jersey Devils,21,Colorado Avalanche,home win REG
2017020455,20172018,26,Los Angeles Kings,12,Carolina Hurricanes,home win OT
2017020810,20172018,25,Dallas Stars,3,New York Rangers,home win REG
2017020555,20172018,54,Vegas Golden Knights,15,Washington Capitals,home win REG
2017021114,20172018,52,Winnipeg Jets,25,Dallas Stars,home win REG
2017020671,20172018,5,Pittsburgh Penguins,17,Detroit Red Wings,home win REG
2017020239,20172018,20,Calgary Flames,17,Detroit Red Wings,home win REG
2017020811,20172018,22,Edmonton Oilers,14,Tampa Bay Lightning,home win REG
2017020411,20172018,54,Vegas Golden Knights,53,Arizona Coyotes,home win OT
2017020675,20172018,25,Dallas Stars,21,Colorado Avalanche,away win REG
2017020012,20172018,26,Los Angeles Kings,4,Philadelphia Flyers,home win REG
2017020890,20172018,29,Columbus Blue Jackets,4,Philadelphia Flyers,away win OT
2017020679,20172018,5,Pittsburgh Penguins,3,New York Rangers,home win REG
2017021014,20172018,28,San Jose Sharks,29,Columbus Blue Jackets,away win REG
2017021267,20172018,53,Arizona Coyotes,24,Anaheim Ducks,away win REG
2017020013,20172018,29,Columbus Blue Jackets,2,New York Islanders,home win REG
2017021157,20172018,1,New Jersey Devils,14,Tampa Bay Lightning,home win REG
2017020736,20172018,19,St Louis Blues,9,Ottawa Senators,home win REG
2017020836,20172018,3,New York Rangers,20,Calgary Flames,home win REG
2017021226,20172018,19,St Louis Blues,15,Washington Capitals,away win REG
2017020432,20172018,8,Montreal Canadiens,20,Calgary Flames,away win OT
2017020156,20172018,6,Boston Bruins,26,Los Angeles Kings,away win OT
2017020005,20172018,6,Boston Bruins,18,Nashville Predators,home win REG
2017020823,20172018,10,Toronto Maple Leafs,18,Nashville Predators,home win SO
2017020981,20172018,21,Colorado Avalanche,20,Calgary Flames,home win REG
2017020462,20172018,5,Pittsburgh Penguins,21,Colorado Avalanche,away win REG
2017021125,20172018,9,Ottawa Senators,13,Florida Panthers,away win REG
2017020465,20172018,24,Anaheim Ducks,12,Carolina Hurricanes,home win REG
2017020550,20172018,12,Carolina Hurricanes,7,Buffalo Sabres,home win REG
2017020254,20172018,1,New Jersey Devils,13,Florida Panthers,home win REG
2017021204,20172018,24,Anaheim Ducks,26,Los Angeles Kings,home win OT
2017021171,20172018,12,Carolina Hurricanes,9,Ottawa Senators,home win REG
2017020441,20172018,18,Nashville Predators,54,Vegas Golden Knights,away win SO
2017020063,20172018,8,Montreal Canadiens,10,Toronto Maple Leafs,away win OT
2017020050,20172018,26,Los Angeles Kings,20,Calgary Flames,away win OT
2017020539,20172018,7,Buffalo Sabres,4,Philadelphia Flyers,home win REG
2017020284,20172018,52,Winnipeg Jets,4,Philadelphia Flyers,home win SO
2017020450,20172018,5,Pittsburgh Penguins,10,Toronto Maple Leafs,away win REG
2017020531,20172018,2,New York Islanders,24,Anaheim Ducks,away win OT
2017020486,20172018,21,Colorado Avalanche,13,Florida Panthers,home win REG
2017020197,20172018,26,Los Angeles Kings,10,Toronto Maple Leafs,home win REG
2017020800,20172018,18,Nashville Predators,3,New York Rangers,home win REG
2017020831,20172018,19,St Louis Blues,21,Colorado Avalanche,home win REG
2017020280,20172018,8,Montreal Canadiens,53,Arizona Coyotes,away win REG
2017020064,20172018,14,Tampa Bay Lightning,19,St Louis Blues,home win REG
2017020072,20172018,53,Arizona Coyotes,6,Boston Bruins,away win REG
2017020243,20172018,10,Toronto Maple Leafs,6,Boston Bruins,home win OT
2017020086,20172018,18,Nashville Predators,21,Colorado Avalanche,home win REG
2017020682,20172018,30,Minnesota Wild,23,Vancouver Canucks,away win OT
2017021061,20172018,5,Pittsburgh Penguins,25,Dallas Stars,home win REG
2017020371,20172018,29,Columbus Blue Jackets,12,Carolina Hurricanes,home win SO
2017020819,20172018,19,St Louis Blues,30,Minnesota Wild,away win REG
2017020261,20172018,15,Washington Capitals,22,Edmonton Oilers,home win SO
2017020454,20172018,28,San Jose Sharks,9,Ottawa Senators,home win REG
2017021091,20172018,26,Los Angeles Kings,17,Detroit Red Wings,home win REG
2017020590,20172018,19,St Louis Blues,12,Carolina Hurricanes,home win REG
2017020949,20172018,8,Montreal Canadiens,14,Tampa Bay Lightning,away win SO
2017021265,20172018,18,Nashville Predators,29,Columbus Blue Jackets,home win REG
2017021209,20172018,10,Toronto Maple Leafs,52,Winnipeg Jets,away win REG
2017020330,20172018,21,Colorado Avalanche,25,Dallas Stars,home win REG
2017020410,20172018,21,Colorado Avalanche,25,Dallas Stars,away win REG
2017020740,20172018,23,Vancouver Canucks,26,Los Angeles Kings,home win REG
2017020940,20172018,26,Los Angeles Kings,25,Dallas Stars,away win REG
2017020565,20172018,30,Minnesota Wild,25,Dallas Stars,home win REG
2017020824,20172018,3,New York Rangers,6,Boston Bruins,away win REG
2017020480,20172018,4,Philadelphia Flyers,7,Buffalo Sabres,home win REG
2017020882,20172018,9,Ottawa Senators,7,Buffalo Sabres,home win OT
2017021088,20172018,19,St Louis Blues,21,Colorado Avalanche,away win REG
2017020588,20172018,13,Florida Panthers,8,Montreal Canadiens,home win REG
2017020226,20172018,5,Pittsburgh Penguins,53,Arizona Coyotes,home win REG
2017020388,20172018,7,Buffalo Sabres,5,Pittsburgh Penguins,away win REG
2017020514,20172018,21,Colorado Avalanche,5,Pittsburgh Penguins,home win REG
2017020626,20172018,22,Edmonton Oilers,24,Anaheim Ducks,home win SO
2017020109,20172018,24,Anaheim Ducks,8,Montreal Canadiens,home win REG
2017020883,20172018,14,Tampa Bay Lightning,17,Detroit Red Wings,home win REG
2017021071,20172018,12,Carolina Hurricanes,6,Boston Bruins,away win REG
2017020900,20172018,54,Vegas Golden Knights,8,Montreal Canadiens,home win REG
2017021038,20172018,13,Florida Panthers,8,Montreal Canadiens,home win REG
2017021101,20172018,10,Toronto Maple Leafs,8,Montreal Canadiens,home win REG
2017020529,20172018,6,Boston Bruins,52,Winnipeg Jets,home win SO
2017020396,20172018,4,Philadelphia Flyers,6,Boston Bruins,away win REG
2017020621,20172018,19,St Louis Blues,54,Vegas Golden Knights,home win REG
2017020600,20172018,22,Edmonton Oilers,52,Winnipeg Jets,away win REG
2017020296,20172018,26,Los Angeles Kings,13,Florida Panthers,home win REG
2017020754,20172018,25,Dallas Stars,10,Toronto Maple Leafs,away win REG
2017020228,20172018,29,Columbus Blue Jackets,18,Nashville Predators,away win REG
2017020941,20172018,3,New York Rangers,30,Minnesota Wild,away win REG
2017020083,20172018,4,Philadelphia Flyers,13,Florida Panthers,home win REG
2017021040,20172018,16,Chicago Blackhawks,12,Carolina Hurricanes,away win REG
2017020004,20172018,28,San Jose Sharks,4,Philadelphia Flyers,away win REG
2017020329,20172018,18,Nashville Predators,8,Montreal Canadiens,home win SO
2017020219,20172018,3,New York Rangers,29,Columbus Blue Jackets,home win REG
2017020776,20172018,6,Boston Bruins,19,St Louis Blues,home win REG
2017020447,20172018,14,Tampa Bay Lightning,52,Winnipeg Jets,home win OT
