game_id,season,type,away_team_id,home_team_id,outcome
2017020812,20172018,R,24,7,away win OT
2017020586,20172018,R,20,24,home win REG
2017020240,20172018,R,23,24,home win REG
2017020624,20172018,R,29,21,home win REG
2017020221,20172018,R,52,25,away win REG
2017020731,20172018,R,2,53,home win OT
2017020986,20172018,R,14,25,away win OT
2017021124,20172018,R,22,12,away win REG
2017020146,20172018,R,2,30,home win REG
2017020001,20172018,R,10,52,away win REG
2017020482,20172018,R,1,8,home win OT
2017020706,20172018,R,8,15,away win REG
2017021076,20172018,R,22,20,home win REG
2017021046,20172018,R,24,25,home win REG
2017020214,20172018,R,21,2,home win REG
2017020285,20172018,R,15,21,home win REG
2017020423,20172018,R,12,23,home win REG
2017020930,20172018,R,2,10,home win SO
2017020301,20172018,R,30,15,home win REG
2017021066,20172018,R,8,29,home win REG
2017021087,20172018,R,6,13,home win REG
2017020625,20172018,R,26,20,home win REG
2017020138,20172018,R,28,6,home win REG
2017020020,20172018,R,7,2,home win REG
2017021170,20172018,R,15,3,away win REG
2017021025,20172018,R,25,18,home win REG
2017020540,20172018,R,30,13,home win REG
2017020699,20172018,R,25,29,home win SO
2017020506,20172018,R,18,20,away win REG
2017021194,20172018,R,28,18,home win REG
2017020342,20172018,R,9,29,home win REG
2017021257,20172018,R,3,4,home win REG
2017021255,20172018,R,19,16,away win REG
2017021010,20172018,R,16,24,home win REG
2017020853,20172018,R,5,19,away win REG
2017020696,20172018,R,6,2,away win REG
2017020164,20172018,R,5,30,home win REG
2017020059,20172018,R,3,29,home win REG
2017020953,20172018,R,7,15,home win REG
2017020952,20172018,R,2,1,home win REG
2017020562,20172018,R,29,5,home win SO
2017021081,20172018,R,1,54,away win REG
2017020955,20172018,R,52,25,away win REG
2017021218,20172018,R,6,4,home win OT
2017020058,20172018,R,15,1,away win REG
2017020614,20172018,R,9,17,home win OT
2017020728,20172018,R,9,30,home win REG
2017020813,20172018,R,54,5,home win REG
2017020987,20172018,R,18,22,away win REG
2017020154,20172018,R,25,20,away win REG
2017020911,20172018,R,25,28,home win REG
2017020065,20172018,R,1,3,away win REG
2017021065,20172018,R,52,15,home win OT
2017020715,20172018,R,53,19,away win REG
2017020067,20172018,R,13,5,home win REG
2017020404,20172018,R,24,18,home win SO
2017020118,20172018,R,12,25,home win REG
2017020161,20172018,R,53,1,home win REG
2017020046,20172018,R,1,10,away win REG
2017020582,20172018,R,2,52,home win REG
2017020375,20172018,R,53,22,home win OT
2017020918,20172018,R,13,10,home win REG
2017020019,20172018,R,21,1,home win REG
2017020455,20172018,R,12,26,home win OT
2017020810,20172018,R,3,25,home win REG
2017020555,20172018,R,15,54,home win REG
2017021114,20172018,R,25,52,home win REG
2017020671,20172018,R,17,5,home win REG
2017020239,20172018,R,17,20,home win REG
2017020811,20172018,R,14,22,home win REG
2017020411,20172018,R,53,54,home win OT
2017020675,20172018,R,21,25,away win REG
2017020012,20172018,R,4,26,home win REG
2017020890,20172018,R,4,29,away win OT
2017020679,20172018,R,3,5,home win REG
2017021014,20172018,R,29,28,away win REG
2017021267,20172018,R,24,53,away win REG
2017020013,20172018,R,2,29,home win REG
2017021157,20172018,R,14,1,home win REG
2017020736,20172018,R,9,19,home win REG
2017020836,20172018,R,20,3,home win REG
2017021226,20172018,R,15,19,away win REG
2017020432,20172018,R,20,8,away win OT
2017020156,20172018,R,26,6,away win OT
2017020005,20172018,R,18,6,home win REG
2017020823,20172018,R,18,10,home win SO
2017020981,20172018,R,20,21,home win REG
2017020462,20172018,R,21,5,away win REG
2017021125,20172018,R,13,9,away win REG
2017020465,20172018,R,12,24,home win REG
2017020550,20172018,R,7,12,home win REG
2017020254,20172018,R,13,1,home win REG
2017021204,20172018,R,26,24,home win OT
2017021171,20172018,R,9,12,home win REG
2017020441,20172018,R,54,18,away win SO
2017020063,20172018,R,10,8,away win OT
2017020050,20172018,R,20,26,away win OT
2017020539,20172018,R,4,7,home win REG
2017020284,20172018,R,4,52,home win SO
2017020450,20172018,R,10,5,away win REG
2017020531,20172018,R,24,2,away win OT
2017020486,20172018,R,13,21,home win REG
2017020197,20172018,R,10,26,home win REG
2017020800,20172018,R,3,18,home win REG
2017020831,20172018,R,21,19,home win REG
2017020280,20172018,R,53,8,away win REG
2017020064,20172018,R,19,14,home win REG
2017020072,20172018,R,6,53,away win REG
2017020243,20172018,R,6,10,home win OT
2017020086,20172018,R,21,18,home win REG
2017020682,20172018,R,23,30,away win OT
2017021061,20172018,R,25,5,home win REG
2017020371,20172018,R,12,29,home win SO
2017020819,20172018,R,30,19,away win REG
2017020261,20172018,R,22,15,home win SO
2017020454,20172018,R,9,28,home win REG
2017021091,20172018,R,17,26,home win REG
2017020590,20172018,R,12,19,home win REG
2017020949,20172018,R,14,8,away win SO
2017021265,20172018,R,29,18,home win REG
2017021209,20172018,R,52,10,away win REG
2017020330,20172018,R,25,21,home win REG
2017020410,20172018,R,25,21,away win REG
2017020740,20172018,R,26,23,home win REG
2017020940,20172018,R,25,26,away win REG
2017020565,20172018,R,25,30,home win REG
2017020824,20172018,R,6,3,away win REG
2017020480,20172018,R,7,4,home win REG
2017020882,20172018,R,7,9,home win OT
2017021088,20172018,R,21,19,away win REG
2017020588,20172018,R,8,13,home win REG
2017020226,20172018,R,53,5,home win REG
2017020388,20172018,R,5,7,away win REG
2017020514,20172018,R,5,21,home win REG
2017020626,20172018,R,24,22,home win SO
2017020109,20172018,R,8,24,home win REG
2017020883,20172018,R,17,14,home win REG
2017021071,20172018,R,6,12,away win REG
